Sr No	Gene ID	Specie	Gene name	Gene Description
S000001655	YKL172W	S. cerevisiae	EBP2	EBNA1-binding protein (homolog)
S000001656	YKL173W	S. cerevisiae	SNU114	Small NUclear ribonucleoprotein associated
S000001657	YKL174C	S. cerevisiae	TPO5	Transporter of POlyamines
S000001658	YKL175W	S. cerevisiae	ZRT3	Zinc-Regulated Transporter
S000001661	YKL178C	S. cerevisiae	STE3	STErile
S000001662	YKL179C	S. cerevisiae	COY1	CASP Of Yeast
S000001663	YKL180W	S. cerevisiae	RPL17A	Ribosomal Protein of the Large subunit
S000001664	YKL181W	S. cerevisiae	PRS1	PhosphoRibosylpyrophosphate Synthetase
S000001665	YKL182W	S. cerevisiae	FAS1	Fatty Acid Synthetase
S000001666	YKL183W	S. cerevisiae	LOT5	LOw Temperature-responsive
S000001667	YKL184W	S. cerevisiae	SPE1	SPErmidine auxotroph
S000001669	YKL186C	S. cerevisiae	MTR2	Mrna TRansport
S000001671	YKL188C	S. cerevisiae	PXA2	PeroXisomal ABC-transporter
S000001672	YKL189W	S. cerevisiae	HYM1	
S000001673	YKL190W	S. cerevisiae	CNB1	CalciNeurin subunit B
S000001674	YKL191W	S. cerevisiae	DPH2	DiPHthamide
S000001675	YKL192C	S. cerevisiae	ACP1	Acyl Carrier Protein
S000001676	YKL193C	S. cerevisiae	SDS22	homolog of S. pombe SDS22
S000001677	YKL194C	S. cerevisiae	MST1	Mitochondrial aminoacyl-tRNA Synthetase, Threonine
S000001679	YKL196C	S. cerevisiae	YKT6	
S000001680	YKL197C	S. cerevisiae	PEX1	PEroXin
S000001681	YKL198C	S. cerevisiae	PTK1	Putative serine/Threonine protein Kinase
S000001686	YKL203C	S. cerevisiae	TOR2	Target Of Rapamycin
S000001688	YKL205W	S. cerevisiae	LOS1	Loss Of Suppression
S000001689	YKL206C	S. cerevisiae	ADD66	Alpha1-proteinase inhibitor-Degradation Deficient
S000001690	YKL207W	S. cerevisiae	EMC3	ER Membrane protein Complex
S000001692	YKL209C	S. cerevisiae	STE6	STErile
S000001693	YKL210W	S. cerevisiae	UBA1	UBiquitin Activating
S000001694	YKL211C	S. cerevisiae	TRP3	TRyPtophan
S000001695	YKL212W	S. cerevisiae	SAC1	Suppressor of ACtin
S000001696	YKL213C	S. cerevisiae	DOA1	Degradation Of Alpha
S000001698	YKL215C	S. cerevisiae	OXP1	OXoProlinase
S000001699	YKL216W	S. cerevisiae	URA1	URAcil requiring
S000001700	YKL217W	S. cerevisiae	JEN1	
S000001701	YKL218C	S. cerevisiae	SRY1	Serine Racemase of Yeast
S000001703	YKL220C	S. cerevisiae	FRE2	Ferric REductase
S000001704	YKL221W	S. cerevisiae	MCH2	MonoCarboxylate permease Homologue
S000001709	YKR001C	S. cerevisiae	VPS1	Vacuolar Protein Sorting
S000001710	YKR002W	S. cerevisiae	PAP1	Poly(A) Polymerase
S000001711	YKR003W	S. cerevisiae	OSH6	OxySterol binding protein Homolog
S000001712	YKR004C	S. cerevisiae	ECM9	ExtraCellular Mutant
S000001714	YKR006C	S. cerevisiae	MRPL13	Mitochondrial Ribosomal Protein, Large subunit
S000001716	YKR008W	S. cerevisiae	RSC4	Remodel the Structure of Chromatin
S000001717	YKR009C	S. cerevisiae	FOX2	Fatty acid OXidation
S000001721	YKR013W	S. cerevisiae	PRY2	Pathogen Related in Yeast
S000001722	YKR014C	S. cerevisiae	YPT52	Yeast Protein Two
S000001724	YKR016W	S. cerevisiae	MIC60	MItochondrial contact site and Cristae organizing system
S000001725	YKR017C	S. cerevisiae	HEL1	Histone E3 Ligase
S000001726	YKR018C	S. cerevisiae		
S000001729	YKR021W	S. cerevisiae	ALY1	Arrestin-Like Yeast protein
S000001731	YKR023W	S. cerevisiae	RQT4	Ribosome-Quality control Trigger factor
S000001732	YKR024C	S. cerevisiae	DBP7	Dead Box Protein
S000001733	YKR025W	S. cerevisiae	RPC37	RNA Polymerase C
S000001734	YKR026C	S. cerevisiae	GCN3	General Control Nonderepressible
S000001735	YKR027W	S. cerevisiae	BCH2	Bud7 and Chs6 Homolog
S000001736	YKR028W	S. cerevisiae	SAP190	Sit4 Associated Protein
S000001737	YKR029C	S. cerevisiae	SET3	SET domain-containing
S000001738	YKR030W	S. cerevisiae	GMH1	Gea1-6 Membrane-associated High-copy suppressor
S000001739	YKR031C	S. cerevisiae	SPO14	SPOrulation
S000001742	YKR034W	S. cerevisiae	DAL80	Degradation of Allantoin
S000001744	YKR036C	S. cerevisiae	CAF4	CCR4 Associated Factor
S000001746	YKR038C	S. cerevisiae	KAE1	Kinase-Associated Endopeptidase
S000001747	YKR039W	S. cerevisiae	GAP1	General Amino acid Permease
S000001750	YKR042W	S. cerevisiae	UTH1	yoUTH
S000001751	YKR043C	S. cerevisiae	SHB17	SedoHeptulose 1,7-Bisphosphatase
S000001752	YKR044W	S. cerevisiae	UIP5	Ulp1 Interacting Protein
S000001756	YKR048C	S. cerevisiae	NAP1	Nucleosome Assembly Protein
S000001758	YKR050W	S. cerevisiae	TRK2	TRansport of potassium (K)
S000001759	YKR051W	S. cerevisiae	HFL1	Has Fused Lysosomes
S000001760	YKR052C	S. cerevisiae	MRS4	Mitochondrial RNA Splicing
S000001761	YKR053C	S. cerevisiae	YSR3	Yeast Sphingolipid Resistance
S000001762	YKR054C	S. cerevisiae	DYN1	DYNein
S000001763	YKR055W	S. cerevisiae	RHO4	Ras HOmolog
S000001764	YKR056W	S. cerevisiae	TRM2	tRNA Methyltransferase
S000001765	YKR057W	S. cerevisiae	RPS21A	Ribosomal Protein of the Small subunit
S000001766	YKR058W	S. cerevisiae	GLG1	Glycogenin-Like Gene
S000001767	YKR059W	S. cerevisiae	TIF1	Translation Initiation Factor
S000001768	YKR060W	S. cerevisiae	UTP30	U Three Protein
S000001769	YKR061W	S. cerevisiae	KTR2	Kre Two Related
S000001770	YKR062W	S. cerevisiae	TFA2	Transcription Factor a, subunit 2
S000001771	YKR063C	S. cerevisiae	LAS1	Lethal in the Absence of SSD1-v
S000001773	YKR065C	S. cerevisiae	PAM17	Presequence translocase-Associated Motor
S000001774	YKR066C	S. cerevisiae	CCP1	Cytochrome c Peroxidase
S000001775	YKR067W	S. cerevisiae	GPT2	Glycerol-3-Phosphate acylTransferase
S000001776	YKR068C	S. cerevisiae	BET3	Blocked Early in Transport
S000001777	YKR069W	S. cerevisiae	MET1	METhionine requiring
S000001778	YKR070W	S. cerevisiae		
S000001779	YKR071C	S. cerevisiae	DRE2	Derepressed for Ribosomal protein S14 Expression
S000001780	YKR072C	S. cerevisiae	SIS2	SIt4 Suppressor
S000001782	YKR074W	S. cerevisiae	AIM29	Altered Inheritance rate of Mitochondria
S000001783	YKR075C	S. cerevisiae		
S000001784	YKR076W	S. cerevisiae	ECM4	ExtraCellular Mutant
S000001787	YKR079C	S. cerevisiae	TRZ1	tRNase Z
S000001788	YKR080W	S. cerevisiae	MTD1	Methylene Tetrahydrafolate Dehydrogenase
S000001789	YKR081C	S. cerevisiae	RPF2	Ribosome Production Factor
S000001790	YKR082W	S. cerevisiae	NUP133	NUclear Pore
S000001791	YKR083C	S. cerevisiae	DAD2	Duo1 And Dam1 interacting
S000001792	YKR084C	S. cerevisiae	HBS1	Hsp70 subfamily B Suppressor
S000001793	YKR085C	S. cerevisiae	MRPL20	Mitochondrial Ribosomal Protein, Large subunit
S000001794	YKR086W	S. cerevisiae	PRP16	Pre-mRNA Processing
S000001795	YKR087C	S. cerevisiae	OMA1	Overlapping activity with M-AAA protease
S000001796	YKR088C	S. cerevisiae	TVP38	Tlg2-Vesicle Protein
S000001797	YKR089C	S. cerevisiae	TGL4	TriacylGlycerol Lipase
S000001801	YKR093W	S. cerevisiae	PTR2	Peptide TRansport
S000001802	YKR094C	S. cerevisiae	RPL40B	Ribosomal Protein of the Large subunit
S000001803	YKR095W	S. cerevisiae	MLP1	Myosin-Like Protein
S000001804	YKR096W	S. cerevisiae	ESL2	EST/SMG-like
S000001805	YKR097W	S. cerevisiae	PCK1	Phosphoenolpyruvate CarboxyKinase
S000001806	YKR098C	S. cerevisiae	UBP11	UBiquitin-specific Protease
S000001811	YKR103W	S. cerevisiae	NFT1	New Full-length MRP-type Transporter
S000001812	YKR104W	S. cerevisiae		
S000001813	YKR105C	S. cerevisiae	VBA5	Vacuolar Basic Amino acid transporter
S000001814	YKR106W	S. cerevisiae	GEX2	Glutathione EXchanger
S000001828	YFL066C	S. cerevisiae		
S000001834	YFL060C	S. cerevisiae	SNO3	SNZ proximal Open reading frame
S000001835	YFL059W	S. cerevisiae	SNZ3	SNooZe
S000001839	YFL055W	S. cerevisiae	AGP3	high-Affinity Glutamine Permease
S000001840	YFL054C	S. cerevisiae	AQY3	AQuaporin from Yeast
S000001841	YFL053W	S. cerevisiae	DAK2	DihydroxyAcetone Kinase
S000001842	YFL052W	S. cerevisiae	ZNF1	ZiNc Finger protein
S000001844	YFL050C	S. cerevisiae	ALR2	ALuminum Resistance
S000001845	YFL049W	S. cerevisiae	SWP82	SWi/snf-associated Protein
S000001846	YFL048C	S. cerevisiae	EMP47	
S000001847	YFL047W	S. cerevisiae	RGD2	RhoGAP domain
S000001848	YFL046W	S. cerevisiae	FMP32	Found in Mitochondrial Proteome
S000001849	YFL045C	S. cerevisiae	SEC53	SECretory
S000001850	YFL044C	S. cerevisiae	OTU1	Ovarian TUmor
S000001852	YFL042C	S. cerevisiae	LAM5	Lipid transfer protein Anchored at Membrane contact site
S000001853	YFL041W	S. cerevisiae	FET5	FErrous Transport
S000001854	YFL040W	S. cerevisiae		
S000001855	YFL039C	S. cerevisiae	ACT1	ACTin
S000001856	YFL038C	S. cerevisiae	YPT1	Yeast Protein Two
S000001857	YFL037W	S. cerevisiae	TUB2	TUBulin
S000001858	YFL036W	S. cerevisiae	RPO41	RNA POlymerase
S000001859	YFL034C-B	S. cerevisiae	MOB2	Mps One Binder
S000001860	YFL034W	S. cerevisiae	MIL1	Medium adaptin-Interacting Ligand
S000001864	YFL030W	S. cerevisiae	AGX1	Alanine:Glyoxylate aminotrans(X)ferase
S000001865	YFL029C	S. cerevisiae	CAK1	Cdk-Activating Kinase
S000001866	YFL028C	S. cerevisiae	CAF16	CCR4 Associated Factor
S000001867	YFL027C	S. cerevisiae	GYP8	Gtpase-activating protein for Ypt Proteins
S000001868	YFL026W	S. cerevisiae	STE2	STErile
S000001869	YFL025C	S. cerevisiae	BST1	Bypass of Sec Thirteen
S000001870	YFL024C	S. cerevisiae	EPL1	Enhancer of Polycomb Like
S000001872	YFL022C	S. cerevisiae	FRS2	phenylalanyl (F)-tRNA Synthetase
S000001876	YFL018C	S. cerevisiae	LPD1	LiPoamide Dehydrogenase
S000001877	YFL017C	S. cerevisiae	GNA1	GlucosamiNe-6-phosphate Acetyltransferase
S000001878	YFL016C	S. cerevisiae	MDJ1	Mitochondrial DnaJ
S000001880	YFL014W	S. cerevisiae	HSP12	Heat Shock Protein
S000001881	YFL013C	S. cerevisiae	IES1	Ino Eighty Subunit
S000001883	YFL011W	S. cerevisiae	HXT10	HeXose Transporter
S000001885	YFL009W	S. cerevisiae	CDC4	Cell Division Cycle
S000001886	YFL008W	S. cerevisiae	SMC1	Stability of MiniChromosomes
S000001887	YFL007W	S. cerevisiae	BLM10	BLeoMycin resistance
S000001889	YFL005W	S. cerevisiae	SEC4	SECretory
S000001890	YFL004W	S. cerevisiae	VTC2	Vacuolar Transporter Chaperone
S000001891	YFL003C	S. cerevisiae	MSH4	MutS Homolog
S000001894	YFL002C	S. cerevisiae	SPB4	Suppressor of PAB1
S000001895	YFL001W	S. cerevisiae	DEG1	DEpressed Growth rate
S000001897	YFR001W	S. cerevisiae	LOC1	LOCalization of mRNA
S000001898	YFR002W	S. cerevisiae	NIC96	Nucleoporin-Interacting Component of 96 kDa
S000001899	YFR003C	S. cerevisiae	YPI1	Yeast Phosphatase Inhibitor
S000001900	YFR004W	S. cerevisiae	RPN11	Regulatory Particle Non-ATPase
S000001901	YFR005C	S. cerevisiae	SAD1	SnRNP Assembly Defective
S000001902	YFR006W	S. cerevisiae		
S000001903	YFR007W	S. cerevisiae	YFH7	
S000001905	YFR009W	S. cerevisiae	GCN20	General Control Nonderepressible
S000001906	YFR010W	S. cerevisiae	UBP6	UBiquitin-specific Protease
S000001907	YFR011C	S. cerevisiae	MIC19	MItochondrial contact site and Cristae organizing system
S000001908	YFR012W	S. cerevisiae	DCV1	Demands Cdc28 kinase activity for Viability
S000001910	YFR014C	S. cerevisiae	CMK1	CalModulin dependent protein Kinase
S000001911	YFR015C	S. cerevisiae	GSY1	Glycogen SYnthase
S000001914	YFR018C	S. cerevisiae		
S000001915	YFR019W	S. cerevisiae	FAB1	Forms Aploid and Binucleate cells
S000001917	YFR021W	S. cerevisiae	ATG18	AuTophaGy related
S000001918	YFR022W	S. cerevisiae	ROG3	Revertant Of Glycogen synthase kinase mutation
S000001919	YFR023W	S. cerevisiae	PES4	Polymerase Epsilon Suppressor
S000001921	YFR025C	S. cerevisiae	HIS2	HIStidine requiring
S000001923	YFR027W	S. cerevisiae	ECO1	Establishment of COhesion
S000001924	YFR028C	S. cerevisiae	CDC14	Cell Division Cycle
S000001925	YFR029W	S. cerevisiae	PTR3	Peptide TRansport
S000001926	YFR030W	S. cerevisiae	MET10	METhionine requiring
S000001927	YFR031C	S. cerevisiae	SMC2	Structural Maintenance of Chromosomes
S000001928	YFR032C	S. cerevisiae	RRT5	Regulator of rDNA Transcription
S000001929	YFR033C	S. cerevisiae	QCR6	ubiQuinol-cytochrome C oxidoReductase
S000001933	YFR037C	S. cerevisiae	RSC8	Remodel the Structure of Chromatin
S000001936	YFR040W	S. cerevisiae	SAP155	Sit4 Associated Protein
S000001937	YFR041C	S. cerevisiae	ERJ5	Endoplasmic Reticulum located J-protein
S000001940	YFR044C	S. cerevisiae	DUG1	Deficient in Utilization of Glutathione
S000001941	YFR045W	S. cerevisiae	MRX20	Mitochondrial oRganization of gene eXpression (MIOREX)
S000001943	YFR047C	S. cerevisiae	BNA6	Biosynthesis of Nicotinic Acid
S000001944	YFR048W	S. cerevisiae	RMD8	Required for Meiotic nuclear Division
S000001945	YFR049W	S. cerevisiae	YMR31	Yeast Mitochondrial Ribosomal protein
S000001946	YFR050C	S. cerevisiae	PRE4	PRoteinase yscE
S000001947	YFR051C	S. cerevisiae	RET2	RETrieval from ER
S000001948	YFR052W	S. cerevisiae	RPN12	Regulatory Particle Non-ATPase
S000001949	YFR053C	S. cerevisiae	HXK1	HeXoKinase
S000001952	YFR055W	S. cerevisiae	IRC7	Increased Recombination Centers
S000002100	YHR039C-A	S. cerevisiae	VMA10	
S000002101	YKL006C-A	S. cerevisiae	SFT1	Suppressor of sed Five Ts
S000002104	YFR031C-A	S. cerevisiae	RPL2A	Ribosomal Protein of the Large subunit
S000002127	YER019C-A	S. cerevisiae	SBH2	Sec61 beta homolog 2
S000002128	YER087C-B	S. cerevisiae	SBH1	Sec61 beta homolog 1
S000002129	YAR002C-A	S. cerevisiae	ERP1	Emp24p/Erv25p Related Protein
S000002133	YCR079W	S. cerevisiae	PTC6	Phosphatase Two C
S000002134	YAL034C	S. cerevisiae	FUN19	Function Unknown Now
S000002135	YER056C-A	S. cerevisiae	RPL34A	Ribosomal Protein of the Large subunit
S000002152	YBL112C	S. cerevisiae		
S000002156	YBR084C-A	S. cerevisiae	RPL19A	Ribosomal Protein of the Large subunit
S000002157	YBR089C-A	S. cerevisiae	NHP6B	Non-Histone Protein
S000002159	YDL001W	S. cerevisiae	RMD1	Required for Meiotic nuclear Division
S000002160	YDL002C	S. cerevisiae	NHP10	Non-Histone Protein
S000002162	YDL004W	S. cerevisiae	ATP16	ATP synthase
S000002165	YDL007W	S. cerevisiae	RPT2	Regulatory Particle Triple-A protein, or Regulatory Particle Triphosphatase
S000002166	YDL008W	S. cerevisiae	APC11	Anaphase Promoting Complex
S000002168	YDL010W	S. cerevisiae	GRX6	GlutaRedoXin
S000002170	YDL012C	S. cerevisiae		
S000002172	YDL014W	S. cerevisiae	NOP1	NucleOlar Protein
S000002173	YDL015C	S. cerevisiae	TSC13	Temperature-sensitive Suppressors of Csg2 mutants
S000002175	YDL017W	S. cerevisiae	CDC7	Cell Division Cycle
S000002176	YDL018C	S. cerevisiae	ERP3	Emp24p/Erv25p Related Protein
S000002177	YDL019C	S. cerevisiae	OSH2	OxySterol binding protein Homolog
S000002179	YDL021W	S. cerevisiae	GPM2	Glycerate PhosphoMutase
S000002180	YDL022W	S. cerevisiae	GPD1	Glycerol-3-Phosphate Dehydrogenase
S000002182	YDL024C	S. cerevisiae	DIA3	Digs Into Agar
S000002183	YDL025C	S. cerevisiae	RTK1	Ribosome biogenesis and TRNA synthetase-associated Kinase
S000002186	YDL028C	S. cerevisiae	MPS1	MonoPolar Spindle
S000002187	YDL029W	S. cerevisiae	ARP2	Actin-Related Protein
S000002188	YDL030W	S. cerevisiae	PRP9	Pre-mRNA Processing
S000002189	YDL031W	S. cerevisiae	DBP10	Dead Box Protein
S000002191	YDL033C	S. cerevisiae	SLM3	Synthetic Lethal with Mss4
S000002193	YDL035C	S. cerevisiae	GPR1	G-Protein coupled Receptor
S000002194	YDL036C	S. cerevisiae	PUS9	PseudoUridine Synthase
S000002198	YDL040C	S. cerevisiae	NAT1	N-terminal AcetylTransferase
S000002200	YDL042C	S. cerevisiae	SIR2	Silent Information Regulator
S000002201	YDL043C	S. cerevisiae	PRP11	Pre-mRNA Processing
S000002203	YDL045C	S. cerevisiae	FAD1	FAD synthetase
S000002204	YDL046W	S. cerevisiae	NPC2	Niemann Pick type C homolog
S000002205	YDL047W	S. cerevisiae	SIT4	Suppressor of Initiation of Transcription
S000002207	YDL049C	S. cerevisiae	KNH1	Kre9(Nine) Homolog
S000002209	YDL051W	S. cerevisiae	LHP1	La-Homologous Protein
S000002210	YDL052C	S. cerevisiae	SLC1	SphingoLipid Compensation
S000002212	YDL054C	S. cerevisiae	MCH1	MonoCarboxylate transporter Homolog
S000002213	YDL055C	S. cerevisiae	PSA1	
S000002214	YDL056W	S. cerevisiae	MBP1	MluI-box Binding Protein
S000002215	YDL057W	S. cerevisiae		
S000002216	YDL058W	S. cerevisiae	USO1	yUSOu - transport in Japanese
S000002217	YDL059C	S. cerevisiae	RAD59	RADiation sensitive
S000002218	YDL060W	S. cerevisiae	TSR1	Twenty S rRNA accumulation
S000002219	YDL061C	S. cerevisiae	RPS29B	Ribosomal Protein of the Small subunit
S000002221	YDL063C	S. cerevisiae	SYO1	SYnchronized impOrt or SYmpOrtin
S000002222	YDL064W	S. cerevisiae	UBC9	UBiquitin-Conjugating
S000002223	YDL065C	S. cerevisiae	PEX19	PEroXisome related
S000002224	YDL066W	S. cerevisiae	IDP1	Isocitrate Dehydrogenase, NADP-specific
S000002225	YDL067C	S. cerevisiae	COX9	Cytochrome c OXidase
S000002228	YDL070W	S. cerevisiae	BDF2	BromoDomain Factor
S000002230	YDL072C	S. cerevisiae	YET3	Yeast Endoplasmic reticulum Transmembrane protein
S000002232	YDL074C	S. cerevisiae	BRE1	BREfeldin A sensitivity
S000002233	YDL075W	S. cerevisiae	RPL31A	Ribosomal Protein of the Large subunit
S000002234	YDL076C	S. cerevisiae	RXT3	
S000002235	YDL077C	S. cerevisiae	VAM6	VAcuolar Morphogenesis
S000002236	YDL078C	S. cerevisiae	MDH3	Malate DeHydrogenase
S000002237	YDL079C	S. cerevisiae	MRK1	Mds1p Related Kinase
S000002238	YDL080C	S. cerevisiae	THI3	THIamine metabolism
S000002239	YDL081C	S. cerevisiae	RPP1A	Ribosomal Protein P1 Alpha
S000002240	YDL082W	S. cerevisiae	RPL13A	Ribosomal Protein of the Large subunit
S000002241	YDL083C	S. cerevisiae	RPS16B	Ribosomal Protein of the Small subunit
S000002242	YDL084W	S. cerevisiae	SUB2	SUppressor of Brr1-1
S000002243	YDL085W	S. cerevisiae	NDE2	NADH Dehydrogenase, External
S000002244	YDL086W	S. cerevisiae		
S000002245	YDL087C	S. cerevisiae	LUC7	Lethal Unless Cap-binding complex is produced
S000002246	YDL088C	S. cerevisiae	ASM4	Anti-Suppressor in Multicopy
S000002248	YDL090C	S. cerevisiae	RAM1	RAS protein and A-factor Maturation
S000002249	YDL091C	S. cerevisiae	UBX3	UBiquitin regulatory X
S000002250	YDL092W	S. cerevisiae	SRP14	Signal Recognition Particle
S000002251	YDL093W	S. cerevisiae	PMT5	Protein O-MannosylTransferase
S000002253	YDL095W	S. cerevisiae	PMT1	Protein O-MannosylTransferase
S000002255	YDL097C	S. cerevisiae	RPN6	Regulatory Particle Non-ATPase
S000002258	YDL100C	S. cerevisiae	GET3	Guided Entry of Tail-anchored proteins
S000002259	YDL101C	S. cerevisiae	DUN1	DNA-damage UNinducible
S000002260	YDL102W	S. cerevisiae	POL3	POLymerase
S000002261	YDL103C	S. cerevisiae	QRI1	
S000002262	YDL104C	S. cerevisiae	QRI7	
S000002263	YDL105W	S. cerevisiae	NSE4	Non-SMC Element
S000002265	YDL107W	S. cerevisiae	MSS2	Mitochondrial Splicing
S000002266	YDL108W	S. cerevisiae	KIN28	protein KINase
S000002267	YDL109C	S. cerevisiae		
S000002269	YDL111C	S. cerevisiae	RRP42	Ribosomal RNA Processing
S000002270	YDL112W	S. cerevisiae	TRM3	Transfer RNA Methyltransferase
S000002271	YDL113C	S. cerevisiae	ATG20	AuTophaGy related
S000002272	YDL114W	S. cerevisiae		
S000002274	YDL116W	S. cerevisiae	NUP84	NUclear Pore
S000002275	YDL117W	S. cerevisiae	CYK3	CYtoKinesis
S000002277	YDL119C	S. cerevisiae	HEM25	HEMe synthesis by SLC25 family member
S000002278	YDL120W	S. cerevisiae	YFH1	Yeast Frataxin Homolog
S000002280	YDL122W	S. cerevisiae	UBP1	UBiquitin-specific Protease
S000002281	YDL123W	S. cerevisiae	SNA4	Sensitivity to NA+
S000002282	YDL124W	S. cerevisiae		
S000002283	YDL125C	S. cerevisiae	HNT1	Histidine triad NucleoTide-binding
S000002284	YDL126C	S. cerevisiae	CDC48	Cell Division Cycle
S000002285	YDL127W	S. cerevisiae	PCL2	Pho85 CycLin
S000002286	YDL128W	S. cerevisiae	VCX1	VaCuolar H+/Ca2+ eXchanger
S000002288	YDL130W	S. cerevisiae	RPP1B	Ribosomal Protein P1 Beta
S000002289	YDL131W	S. cerevisiae	LYS21	LYSine
S000002290	YDL132W	S. cerevisiae	CDC53	Cell Division Cycle
S000002291	YDL133W	S. cerevisiae	SRF1	Spo14 Regulatory Factor
S000002292	YDL134C	S. cerevisiae	PPH21	Protein PHosphatase
S000002294	YDL135C	S. cerevisiae	RDI1	Rho GDP Dissociation Inhibitor
S000002295	YDL136W	S. cerevisiae	RPL35B	Ribosomal Protein of the Large subunit
S000002296	YDL137W	S. cerevisiae	ARF2	ADP-Ribosylation Factor
S000002297	YDL138W	S. cerevisiae	RGT2	Restores Glucose Transport
S000002299	YDL140C	S. cerevisiae	RPO21	RNA POlymerase
S000002300	YDL141W	S. cerevisiae	BPL1	Biotin:apoProtein Ligase
S000002301	YDL142C	S. cerevisiae	CRD1	CaRDiolipin synthase
S000002302	YDL143W	S. cerevisiae	CCT4	Chaperonin Containing TCP-1
S000002303	YDL144C	S. cerevisiae		
S000002304	YDL145C	S. cerevisiae	COP1	COat Protein
S000002305	YDL146W	S. cerevisiae	LDB17	Low Dye Binding
S000002306	YDL147W	S. cerevisiae	RPN5	Regulatory Particle Non-ATPase
S000002307	YDL148C	S. cerevisiae	NOP14	NucleOlar Protein
S000002308	YDL149W	S. cerevisiae	ATG9	AuTophaGy related
S000002309	YDL150W	S. cerevisiae	RPC53	RNA Polymerase C
S000002312	YDL153C	S. cerevisiae	SAS10	Something About Silencing
S000002313	YDL154W	S. cerevisiae	MSH5	MutS Homolog
S000002314	YDL155W	S. cerevisiae	CLB3	CycLin B
S000002315	YDL156W	S. cerevisiae	CMR1	Changed Mutation Rate
S000002316	YDL157C	S. cerevisiae	DMO2	Determines Mitochondrial prOteome
S000002318	YDL159W	S. cerevisiae	STE7	STErile
S000002319	YDL160C	S. cerevisiae	DHH1	DEAD box Helicase Homolog
S000002320	YDL161W	S. cerevisiae	ENT1	Epsin N-Terminal homology
S000002323	YDL164C	S. cerevisiae	CDC9	Cell Division Cycle
S000002324	YDL165W	S. cerevisiae	CDC36	Cell Division Cycle
S000002325	YDL166C	S. cerevisiae	FAP7	Factor Activating Pos9
S000002326	YDL167C	S. cerevisiae	NRP1	N (asparagine)-Rich Protein
S000002327	YDL168W	S. cerevisiae	SFA1	Sensitive to FormAldehyde
S000002329	YDL170W	S. cerevisiae	UGA3	Utilization of GAba
S000002330	YDL171C	S. cerevisiae	GLT1	GLuTamate synthase
S000002332	YDL173W	S. cerevisiae	PAR32	Phosphorylated After Rapamycin
S000002333	YDL174C	S. cerevisiae	DLD1	D-Lactate Dehydrogenase
S000002334	YDL175C	S. cerevisiae	AIR2	Arginine methyltransferase-Interacting RING finger protein
S000002336	YDL177C	S. cerevisiae		
S000002337	YDL178W	S. cerevisiae	DLD2	D-Lactate Dehydrogenase
S000002338	YDL179W	S. cerevisiae	PCL9	Pho85 CycLin
S000002340	YDL181W	S. cerevisiae	INH1	INHibitor (of F1F0-ATPase)
S000002341	YDL182W	S. cerevisiae	LYS20	LYSine requiring
S000002342	YDL183C	S. cerevisiae	MRX19	Mitochondrial oRganization of gene eXpression (MIOREX)
S000002344	YDL185W	S. cerevisiae	VMA1	Vacuolar Membrane Atpase
S000002347	YDL188C	S. cerevisiae	PPH22	Protein PHosphatase
S000002349	YDL190C	S. cerevisiae	UFD2	Ubiquitin Fusion Degradation
S000002350	YDL191W	S. cerevisiae	RPL35A	Ribosomal Protein of the Large subunit
S000002351	YDL192W	S. cerevisiae	ARF1	ADP-Ribosylation Factor
S000002352	YDL193W	S. cerevisiae	NUS1	Nuclear Undecaprenyl pyrophosphate Synthase
S000002353	YDL194W	S. cerevisiae	SNF3	Sucrose NonFermenting
S000002354	YDL195W	S. cerevisiae	SEC31	SECretory
S000002357	YDL198C	S. cerevisiae	GGC1	GDP/GTP Carrier
S000002358	YDL199C	S. cerevisiae		
S000002360	YDL201W	S. cerevisiae	TRM8	Transfer RNA Methyltransferase
S000002361	YDL202W	S. cerevisiae	MRPL11	Mitochondrial Ribosomal Protein, Large subunit
S000002362	YDL203C	S. cerevisiae	ACK1	Activator of C Kinase 1
S000002363	YDL204W	S. cerevisiae	RTN2	ReTiculoN-like
S000002364	YDL205C	S. cerevisiae	HEM3	HEMe biosynthesis
S000002365	YDL206W	S. cerevisiae		
S000002366	YDL207W	S. cerevisiae	GLE1	GLFG (glycine-leucine-phenylalanine-glycine) LEthal
S000002367	YDL208W	S. cerevisiae	NHP2	Non-Histone Protein
S000002368	YDL209C	S. cerevisiae	CWC2	Complexed With Cef1p
S000002369	YDL210W	S. cerevisiae	UGA4	Utilization of GAba
S000002371	YDL212W	S. cerevisiae	SHR3	Super high Histidine Resistant
S000002372	YDL213C	S. cerevisiae	NOP6	NucleOlar Protein
S000002373	YDL214C	S. cerevisiae	PRR2	Pheromone Response Regulator
S000002374	YDL215C	S. cerevisiae	GDH2	Glutamate DeHydrogenase
S000002375	YDL216C	S. cerevisiae	RRI1	Regulator of Rub1 specific Isopeptidase
S000002376	YDL217C	S. cerevisiae	TIM22	Translocase of the Inner Mitochondrial membrane
S000002378	YDL219W	S. cerevisiae	DTD1	D-Tyr-tRNA(Tyr) Deacylase
S000002381	YDL222C	S. cerevisiae	FMP45	Found in Mitochondrial Proteome
S000002384	YDL225W	S. cerevisiae	SHS1	Seventh Homolog of Septin
S000002385	YDL226C	S. cerevisiae	GCS1	Growth Cold Sensitive
S000002388	YDL229W	S. cerevisiae	SSB1	Stress-Seventy subfamily B
